Close,High,Low,Open,Volume,Daily Return,Daily log return
2018-11-14,9106.599609375,9176.400390625,9036.7001953125,9097.7998046875,139660600,-0.004242655279453333,-0.004251680878747274
2018-11-15,9073.5,9189.7998046875,9018.599609375,9133.7001953125,184704800,-0.003634683723321319,-0.0036413052358106246
2018-11-16,9056.7998046875,9131.5,9015.900390625,9111.599609375,202082100,-0.0018405461302143378,-0.0018422420164671282
2018-11-19,9006.2998046875,9138.2998046875,9006.2998046875,9073.7998046875,123709000,-0.005575920975294468,-0.00559152445219046
2018-11-20,8866.5,8977.0,8829.599609375,8970.7001953125,176400500,-0.015522446256423628,-0.015644180813887167
2018-11-21,8960.599609375,8979.2001953125,8896.2998046875,8905.7001953125,145074500,0.010612937390740429,0.010557015486526966
2018-11-22,8906.2001953125,8947.599609375,8878.7001953125,8917.400390625,118001300,-0.006070956903998392,-0.006089460088898893
2018-11-23,8916.7001953125,8951.099609375,8867.7001953125,8903.2001953125,94332900,0.0011789539612556688,0.0011782595407738854
2018-11-26,9091.2001953125,9104.599609375,8984.0,8984.0,173686100,0.019570019870325472,0.019380989272620247
2018-11-27,9085.599609375,9156.400390625,9033.0,9091.7001953125,173492800,-0.0006160447264583757,-0.0006162345599788375
2018-11-28,9102.7001953125,9163.099609375,9096.7998046875,9120.400390625,148526900,0.0018821637176102968,0.0018803946668945863
2018-11-29,9098.900390625,9199.599609375,9080.7001953125,9168.900390625,145113100,-0.0004174370907499281,-0.00041752424186654454
2018-11-30,9077.2001953125,9117.7998046875,9046.2001953125,9112.400390625,207833400,-0.002384925032793972,-0.002387773496315875
